,area,build_year,price,number_of_rooms,level,price_average
346,105.0,1996.2546383436409,145000.0,4.0,7,126575.0
347,181.0,1995.0,339000.0,6.0,4,126575.0
348,103.0,1996.2546383436409,235000.0,4.0,2,126575.0
349,51.0,1996.2546383436409,117300.0,2.0,0,126575.0
350,83.0,1996.2546383436409,125000.0,4.0,1,126575.0
351,38.0,2019.0,62200.0,2.0,3,126575.0
352,54.0,1996.2546383436409,85000.0,2.0,0,126575.0
353,42.0,2003.0,72500.0,2.0,4,126575.0
354,59.0,1996.2546383436409,99000.0,3.0,4,126575.0
355,43.0,1996.2546383436409,77000.0,1.0,0,126575.0
356,39.0,1996.2546383436409,79900.0,2.0,1,126575.0
357,71.0,2019.0,81650.0,3.0,1,126575.0
358,49.0,1996.2546383436409,64800.0,2.0,0,126575.0
359,57.0,1996.2546383436409,85000.0,2.0,6,126575.0
360,53.0,1996.2546383436409,57900.0,2.0,6,126575.0
361,60.0,1996.2546383436409,89900.0,2.0,0,126575.0
362,56.0,1996.2546383436409,87000.0,2.0,0,94238.25333333333
363,26.0,2021.0,42900.0,1.0,2,94238.25333333333
364,67.0,1996.2546383436409,38000.0,1.0,1,94238.25333333333
365,86.0,1996.2546383436409,167700.0,4.0,0,94238.25333333333
366,81.0,1996.2546383436409,162000.0,3.0,2,94238.25333333333
367,92.0,1996.2546383436409,119000.0,3.0,2,94238.25333333333
368,75.0,1996.2546383436409,151900.0,3.0,6,94238.25333333333
369,75.0,1996.2546383436409,103950.0,3.0,0,94238.25333333333
370,86.0,1996.2546383436409,107000.0,4.0,5,94238.25333333333
371,61.0,1996.2546383436409,102000.0,2.0,3,94238.25333333333
372,72.0,1996.2546383436409,103900.0,3.0,6,94238.25333333333
373,54.0,1996.2546383436409,105000.0,3.0,9,94238.25333333333
374,85.0,1996.2546383436409,153000.0,4.0,1,94238.25333333333
375,67.0,1996.2546383436409,120600.0,3.0,2,94238.25333333333
376,61.0,1985.0,102000.0,2.0,3,94238.25333333333
377,75.0,1996.2546383436409,135070.0,3.0,2,94238.25333333333
378,87.0,1996.2546383436409,156420.0,4.0,2,94238.25333333333
379,60.0,1996.2546383436409,107930.0,3.0,1,94238.25333333333
380,61.0,1996.2546383436409,102000.0,2.0,3,94238.25333333333
381,121.0,1996.2546383436409,140000.0,5.0,1,94238.25333333333
382,85.0,2021.0,153300.0,3.0,2,94238.25333333333
383,67.0,2021.0,121500.0,2.0,1,94238.25333333333
384,71.0,1980.0,104000.0,4.0,6,94238.25333333333
385,61.0,1996.2546383436409,102000.0,2.0,3,94238.25333333333
386,115.0,2017.0,175000.0,4.0,2,94238.25333333333
387,61.0,1996.2546383436409,102000.0,2.0,3,94238.25333333333
388,77.0,1996.2546383436409,133000.0,3.0,7,94238.25333333333
389,85.0,1996.2546383436409,153000.0,4.0,1,94238.25333333333
390,67.0,1996.2546383436409,120600.0,3.0,2,94238.25333333333
391,68.0,1996.2546383436409,107000.0,3.0,4,94238.25333333333
392,67.0,2021.0,120600.0,3.0,1,94238.25333333333
393,85.0,2021.0,153000.0,4.0,1,94238.25333333333
394,32.0,1996.2546383436409,53000.0,1.0,3,94238.25333333333
395,27.0,1970.0,54000.0,2.0,0,94238.25333333333
396,41.0,1996.2546383436409,75000.0,2.0,1,94238.25333333333
397,43.0,1996.2546383436409,61900.0,1.0,10,94238.25333333333
398,61.0,1996.2546383436409,88000.0,2.0,5,94238.25333333333
399,50.0,2011.0,76000.0,3.0,0,94238.25333333333
400,61.0,1974.0,86900.0,3.0,1,94238.25333333333
401,47.0,2009.0,74000.0,3.0,0,94238.25333333333
402,54.0,1996.2546383436409,65000.0,3.0,11,94238.25333333333
403,61.0,1974.0,88000.0,2.0,5,94238.25333333333
404,86.0,1996.2546383436409,93000.0,4.0,5,94238.25333333333
405,54.0,1996.2546383436409,88000.0,2.0,5,94238.25333333333
406,26.0,1996.2546383436409,54000.0,1.0,0,94238.25333333333
407,47.0,1996.2546383436409,87000.0,1.0,3,94238.25333333333
408,61.0,1996.2546383436409,87000.0,2.0,5,94238.25333333333
409,47.0,2019.0,70000.0,3.0,0,94238.25333333333
410,62.0,1996.2546383436409,100000.0,3.0,4,94238.25333333333
411,50.0,1996.2546383436409,76000.0,3.0,0,94238.25333333333
412,43.0,1996.2546383436409,63000.0,2.0,5,94238.25333333333
413,66.0,1996.2546383436409,85300.0,2.0,4,94238.25333333333
414,54.0,1996.2546383436409,88000.0,2.0,5,94238.25333333333
415,47.0,2011.0,72000.0,3.0,0,94238.25333333333
416,61.0,1996.2546383436409,88000.0,2.0,5,94238.25333333333
417,55.0,1996.2546383436409,87000.0,3.0,1,94238.25333333333
418,47.0,2014.0,69999.0,3.0,0,94238.25333333333
419,61.0,1996.2546383436409,88000.0,2.0,5,94238.25333333333
420,39.0,1996.2546383436409,62000.0,2.0,5,94238.25333333333
421,35.0,1996.2546383436409,54000.0,1.0,0,94238.25333333333
422,47.0,1996.2546383436409,83400.0,3.0,3,94238.25333333333
423,54.0,1996.2546383436409,65000.0,3.0,11,94238.25333333333
424,66.0,1996.2546383436409,95000.0,2.0,2,94238.25333333333
