29. Novembra
Ada Ciganlija
Altina
Andrićev venac
Autokomanda
Autoput
Avala
Bajlonijeva pijaca
Banija
Banjica
Banovo brdo
Barajevo
Batajnica
Belaci
Bele vode
Beli potok
Belvil
Beograd na vodi
Beograđanka ( centar )
Bežanija
Bežanijska kosa I
Bežanijska kosa II
Bežanijska kosa III
Bogoslovija
Borča I
Borča II
Borča III
Borča IV
Borča V
Botanička bašta
Braće Jerković
Brodogradilište Beograd
Brzi Brod
Bubanj potok
Bulbuder
Bulevar Kr. Aleksandra
Centar (uži)
Cerak
Cerak vinogradi
Cerski venac
Crveni krst
Čubura
Čukarica
Čukarička padina
Cvetanova ćuprija
Cvetkova pijaca
Cvetni trg
Cvijićeva
Dedinje (25. maj)
Dedinje (Beli dvor)
Dedinje (RTV Pink)
Denkova bašta
Đeram pijaca
Dobanovci
Donji Dorćol
Dunavski kej
Dušanovac
Farmaceutski fakultet
Filmski grad
Galenika
Glumčevo brdo
Golf naselje
Gornji Dorćol
Gradic Pejton
Gradska bolnica
Greda
Grocka
Gundulićev venac
Hadžipopovac
Hala Pionir
Hipodrom
Ibarska magistrala
Industrijska zona jug
Institut za majku i dete
Jabučki rit
Jajinci
Jelovac
Julino brdo
Južni bulevar
Kablar
Kalemegdan
Kalenić pijaca
Kaluđerica
Kanarevo brdo
Karaburma
Karađorđeva
Kijevo
Klinički centar
Kluz
Knez Mihajlova ( centar )
Kneza Miloša ( centar )
Kneževac
Konjarnik
Kopitareva gradina
Kosančićev venac
Košutnjak
Kotež
Krnjača
Kumodraž I
Kumodraž II
Labudovo brdo
Ledine
Lekino brdo
Leštane
Lion
Lipov lad
Lipovačka šuma
Lisičji jarak
Lisičji potok
Mačkov kamen
Makiš
Mali mokri lug
Manjež
Marinkova bara
Medak padina
Medaković I
Medaković II
Medaković III
Miljakovac I
Miljakovac II
Miljakovac III
Milka Protic (KP dom)
Mirijevo I
Mirijevo II
Mirijevo III
Mirijevo IV
Neimar
Novi Beograd
Novi Beograd Blok 1 (Fontana)
Novi Beograd Blok 10
Novi Beograd Blok 11 (Hotel Jugoslavija)
Novi Beograd Blok 11a (Opština NBG)
Novi Beograd Blok 11b
Novi Beograd Blok 11c (Stari Merkator)
Novi Beograd Blok 12 (YUBC)
Novi Beograd Blok 13 (Palata federacije)
Novi Beograd Blok 14 (Park Ušće)
Novi Beograd Blok 15 (Park Ušće)
Novi Beograd Blok 16 (Ušće šoping centar)
Novi Beograd Blok 17 (Staro sajmište)
Novi Beograd Blok 19 (Sava Centar)
Novi Beograd Blok 19a
Novi Beograd Blok 2
Novi Beograd Blok 20 (Hotel Hayat)
Novi Beograd Blok 21 (10. Gimnazija)
Novi Beograd Blok 22
Novi Beograd Blok 23
Novi Beograd Blok 24 (Super Vero)
Novi Beograd Blok 25 (Arena)
Novi Beograd Blok 26
Novi Beograd Blok 28 (Potkovica)
Novi Beograd Blok 29
Novi Beograd Blok 3
Novi Beograd Blok 30 (B92)
Novi Beograd Blok 31 (Merkator)
Novi Beograd Blok 32 (Crkva sv. Dimitrija)
Novi Beograd Blok 33 (Genex kula)
Novi Beograd Blok 34 (Studentski grad)
Novi Beograd Blok 35 (SC 11. April)
Novi Beograd Blok 37
Novi Beograd Blok 38 (OŠ Ratko Mitrović)
Novi Beograd Blok 39
Novi Beograd Blok 4 (Politehnička akademija)
Novi Beograd Blok 40
Novi Beograd Blok 41 (Expo centar)
Novi Beograd Blok 41a (GTC)
Novi Beograd Blok 42
Novi Beograd Blok 43 (Buvlja pijaca)
Novi Beograd Blok 44 (Piramida)
Novi Beograd Blok 45 (TC Enjub)
Novi Beograd Blok 49
Novi Beograd Blok 5
Novi Beograd Blok 53 (Kvantaš)
Novi Beograd Blok 58
Novi Beograd Blok 60
Novi Beograd Blok 60 (Airport City)
Novi Beograd Blok 61
Novi Beograd Blok 62
Novi Beograd Blok 63
Novi Beograd Blok 64
Novi Beograd Blok 65
Novi Beograd Blok 66 (Tramvajska štala)
Novi Beograd Blok 66a
Novi Beograd Blok 67
Novi Beograd Blok 67a
Novi Beograd Blok 68
Novi Beograd Blok 7 (Paviljoni)
Novi Beograd Blok 70 (Kineski TC)
Novi Beograd Blok 70a
Novi Beograd Blok 71
Novi Beograd Blok 72
Novi Beograd Blok 7a (Paviljoni)
Novi Beograd Blok 8 (Paviljoni)
Novi Beograd Blok 8a
Novi Beograd Blok 8a (Paviljoni)
Novi Beograd Blok 9
Novi Beograd Blok 9a (Dom Zdravlja)
Novo groblje
Obilićev venac
Olimp
Orlovača
Ostružnica
Ovča
Padinska skela
Palata pravde
Palilula
Palilulska pijaca
Pančevački most
Partizanov stadion
Pašino brdo
Petlovo brdo
Pionirski park
Plavi Horizonti
Politika ( centar )
Poštanska štedionica
Pregrevica
Profesorska kolonija
Radiofar
Rakovica
Resnik
Retenzija
Reva
Rospi ćuprija
Rudo
Rušanj
Sarajevska
Sava mala
Savski trg
Savski venac
Senjak
Severni bulevar
Skadarlija
Skojevsko naselje
Slavija
Slavujev venac
Smederevski put
Sopot
Sremčica
Stari Grad
Stepa Stepanović
Strahinjića Bana
Studentski Trg ( centar )
Šumice
Sunčana padina
Sunčani breg
Surčin
Tašmajdan
Tehnicki fakulteti
Terazije ( centar )
Topčider
Topličin venac
Torlak
Tošin bunar
Trešnja
Trg Republike ( centar )
Trošarina
Učiteljsko naselje
Veliki mokri lug
Veljko Vlahović
Vidikovac
Vidikovačka padina
Vidikovački venac
Viline vode
Vinča
Višnjica
Višnjička banja
Vojvode Vlahovića
Voždovac
Vračar (Centar)
Vračar (Hram)
Vukov spomenik
Žarkovo
Zeleni venac
Zeleno Brdo
Železnik
Zemun (13. maj)
Zemun (Bačka)
Zemun (Cara Dušana)
Zemun (Centar)
Zemun (Ćukovac)
Zemun (Gardoš)
Zemun (Gornji grad)
Zemun (Kalvarija)
Zemun (Kej)
Zemun (Marije Bursać)
Zemun (Meandri)
Zemun (Nova Galenika)
Zemun (Novi Grad)
Zemun Polje
Zemun (Save Kovačevića)
Zemun (Sutjeska)
Zemun (Teleoptik)
Zira
Zvezdara
Zvezdarska Šuma
Zvezdin stadion
